           x                  F(x)
-----------------------------------
     -8.0000          3.0106417534
     -7.9000          2.9510586582
     -7.8000          2.9014566546
     -7.7000          2.8618317661
     -7.6000          2.8320803280
     -7.5000          2.8120000232
     -7.4000          2.8012919042
     -7.3000          2.7995633794
     -7.2000          2.8063321362
     -7.1000          2.8210309599
     -7.0000          2.8430134013
     -6.9000          2.8715602356
     -6.8000          2.9058866489
     -6.7000          2.9451500794
     -6.6000          2.9884586365
     -6.5000          3.0348800119
     -6.4000          3.0834507951
     -6.3000          3.1331860995
     -6.2000          3.1830894028
     -6.1000          3.2321625043
     -6.0000          3.2794154982
     -5.9000          3.3238766648
     -5.8000          3.3646021794
     -5.7000          3.4006855426
     -5.6000          3.4312666379
     -5.5000          3.4555403256
     -5.4000          3.4727644876
     -5.3000          3.4822674422
     -5.2000          3.4834546557
     -5.1000          3.4758146823
     -5.0000          3.4589242747
     -4.9000          3.4324526126
     -4.8000          3.3961646088
     -4.7000          3.3499232576
     -4.6000          3.2936910036
     -4.5000          3.2275301177
     -4.4000          3.1516020739
     -4.3000          3.0661659367
     -4.2000          2.9715757724
     -4.1000          2.8682771111
     -4.0000          2.7568024953
     -3.9000          2.6377661592
     -3.8000          2.5118578909
     -3.7000          2.3798361409
     -3.6000          2.2425204433
     -3.5000          2.1007832277
     -3.4000          1.9555411020
     -3.3000          1.8077456941
     -3.2000          1.6583741434
     -3.1000          1.5084193376
     -3.0000          1.3588799919
     -2.9000          1.2107506708
     -2.8000          1.0650118498
     -2.7000          0.9226201198
     -2.6000          0.7844986282
     -2.5000          0.6515278559
     -2.4000          0.5245368194
     -2.3000          0.4042947878
     -2.2000          0.2915035962
     -2.1000          0.1867906334
     -2.0000          0.0907025732
     -1.9000          0.0036999123
     -1.8000         -0.0738476309
     -1.7000         -0.1416648105
     -1.6000         -0.1995736030
     -1.5000         -0.2474949866
     -1.4000         -0.2854497300
     -1.3000         -0.3135581854
     -1.2000         -0.3320390860
     -1.1000         -0.3412073601
     -1.0000         -0.3414709848
     -0.9000         -0.3333269096
     -0.8000         -0.3173560909
     -0.7000         -0.2942176872
     -0.6000         -0.2646424734
     -0.5000         -0.2294255386
     -0.4000         -0.1894183423
     -0.3000         -0.1455202067
     -0.2000         -0.0986693308
     -0.1000         -0.0498334166
     -0.0000         -0.0000000000
      0.1000          0.0498334166
      0.2000          0.0986693308
      0.3000          0.1455202067
      0.4000          0.1894183423
      0.5000          0.2294255386
      0.6000          0.2646424734
      0.7000          0.2942176872
      0.8000          0.3173560909
      0.9000          0.3333269096
      1.0000          0.3414709848
      1.1000          0.3412073601
      1.2000          0.3320390860
      1.3000          0.3135581854
      1.4000          0.2854497300
      1.5000          0.2474949866
      1.6000          0.1995736030
      1.7000          0.1416648105
      1.8000          0.0738476309
      1.9000         -0.0036999123
      2.0000         -0.0907025732
      2.1000         -0.1867906334
      2.2000         -0.2915035962
      2.3000         -0.4042947878
      2.4000         -0.5245368194
      2.5000         -0.6515278559
      2.6000         -0.7844986282
      2.7000         -0.9226201198
      2.8000         -1.0650118498
      2.9000         -1.2107506708
      3.0000         -1.3588799919
      3.1000         -1.5084193376
      3.2000         -1.6583741434
      3.3000         -1.8077456941
      3.4000         -1.9555411020
      3.5000         -2.1007832277
      3.6000         -2.2425204433
      3.7000         -2.3798361409
      3.8000         -2.5118578909
      3.9000         -2.6377661592
      4.0000         -2.7568024953
      4.1000         -2.8682771111
      4.2000         -2.9715757724
      4.3000         -3.0661659367
      4.4000         -3.1516020739
      4.5000         -3.2275301177
      4.6000         -3.2936910036
      4.7000         -3.3499232576
      4.8000         -3.3961646088
      4.9000         -3.4324526126
      5.0000         -3.4589242747
      5.1000         -3.4758146823
      5.2000         -3.4834546557
      5.3000         -3.4822674422
      5.4000         -3.4727644876
      5.5000         -3.4555403256
      5.6000         -3.4312666379
      5.7000         -3.4006855426
      5.8000         -3.3646021794
      5.9000         -3.3238766648
      6.0000         -3.2794154982
      6.1000         -3.2321625043
      6.2000         -3.1830894028
      6.3000         -3.1331860995
      6.4000         -3.0834507951
      6.5000         -3.0348800119
      6.6000         -2.9884586365
      6.7000         -2.9451500794
      6.8000         -2.9058866489
      6.9000         -2.8715602356
      7.0000         -2.8430134013
      7.1000         -2.8210309599
      7.2000         -2.8063321362
      7.3000         -2.7995633794
      7.4000         -2.8012919042
      7.5000         -2.8120000232
      7.6000         -2.8320803280
      7.7000         -2.8618317661
      7.8000         -2.9014566546
      7.9000         -2.9510586582
      8.0000         -3.0106417534
