1: x = 1.000000, y = 1.000000
2: x = 2.000000, y = 0.500000
3: x = 2.500000, y = 0.000000
4: x = 2.000000, y = 0.500000
5: x = 2.000000, y = 0.500000
6: x = 2.000000, y = 0.500000
7: x = 1.750000, y = 0.875000
8: x = 1.500000, y = 1.250000
9: x = 1.750000, y = 0.875000
10: x = 1.750000, y = 0.875000
11: x = 1.875000, y = 0.750000
12: x = 1.812500, y = 0.812500
13: x = 1.812500, y = 0.812500
14: x = 1.781250, y = 0.875000
15: x = 1.812500, y = 0.843750
16: x = 1.812500, y = 0.843750
17: x = 1.812500, y = 0.843750
18: x = 1.820312, y = 0.828125
19: x = 1.828125, y = 0.812500
20: x = 1.820312, y = 0.828125
21: x = 1.820312, y = 0.828125
22: x = 1.820312, y = 0.828125
23: x = 1.822266, y = 0.824219
24: x = 1.824219, y = 0.820312
25: x = 1.822266, y = 0.824219
26: x = 1.822266, y = 0.824219
27: x = 1.823242, y = 0.822266
28: x = 1.824219, y = 0.821289
29: x = 1.823242, y = 0.822266
30: x = 1.823242, y = 0.822266
31: x = 1.823242, y = 0.822266
32: x = 1.822754, y = 0.822998
33: x = 1.822510, y = 0.823730
34: x = 1.822754, y = 0.822998
35: x = 1.822754, y = 0.822998
36: x = 1.822998, y = 0.822754
37: x = 1.822876, y = 0.822876
38: x = 1.822876, y = 0.822876
39: x = 1.822876, y = 0.822876
40: x = 1.822876, y = 0.822876
41: x = 1.822876, y = 0.822876
42: x = 1.822876, y = 0.822876
43: x = 1.822876, y = 0.822876
44: x = 1.822876, y = 0.822876
